UIC;Nom de la gare;Adresse;CodePostal;Ville;Accessibilité
87645507;Neussargues;Gare SNCF de Neussargues;15170;Neussargues-Moissac;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87671008;Tarbes;25, Avenue Marechal Joffre;65000;Tarbes;Fauteuil roulant à disposition
87671016;Mont-de-Marsan;15 Avenue de la Laïcité;40000;Mont-de-Marsan;Présence du personnel
87672253;Orthez;Avenue de la gare;64300;Orthez;Information sonore en gare et/ou sur les quais
87672253;Orthez;Avenue de la gare;64300;Orthez;Toilettes
87673400;Biarritz;Allée du Moura;64200;Biarritz;Toilettes
87683243;Joigny;3, place du Maréchal Juin;89300;Joigny;Assistance proposée pour accéder aux quais et monter / descendre du train
87694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;Avenue de l'Europe;71210;Ecuisses;Toilettes
87696328;Moulins sur Allier;4 rue Philippe Thomas;3000;Moulins;Assistance proposée pour accéder aux quais et monter / descendre du train
87703975;Nîmes Pont-du-Gard;Chemin de Jonquières Connelle Nord;30129;Manduel;Écrans d'information en gare et/ou sur les quais
87713131;Montbard;Place Henri Vincenot;21500;Montbard;Présence du personnel
87713347;Auxonne;6 Rue Paul DOUMER;21130;Auxerre;Toilettes adaptées aux personnes en fauteuil roulant
87713412;Dole;rue Aristide Briand;39100;Dole;Information sonore en gare et/ou sur les quais
87713412;Dole;rue Aristide Briand;39100;Dole;Présence du personnel
87723197;Lyon Part Dieu;5, Place Charles Béraudier;69003;Lyon;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87725689;Mâcon;1 avenue de la Gare;71000;Mâcon;Présence du personnel
87726000;Saint-Étienne Châteaucreux;2, rue Esplanade de France;42000;Saint Etienne;Fauteuil roulant à disposition
87726778;Bas - Monistrol;La GareZone Industrielle;43120;BAS EN BASSET;Bande d'éveil de vigilance sur les quais
87732008;Vichy;1 Place de la gare;3200;Vichy;Toilettes adaptées aux personnes en fauteuil roulant
87734319;Langeac;Gare SNCF de Langeac;43300;Langeac;Toilettes
87734749;Retournac;Avenue de la Gare;43130;Retournac;Toilettes
87741728;Moûtiers - Salins - Brides-les-Bains;Rue Greyffié de Bellecombe;73600;Moutiers;Toilettes
87743005;Bourg-en-Bresse;12 avenue Pierre Semard;1000;Bourg En Bresse;Fauteuil roulant à disposition
